F:\anaconda\python.exe F:\Pycharm\PyCharm\plugins\python\helpers\pydev\pydevconsole.py --mode=client --port=2558
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['D:\\robot\\RunningRobot', 'D:/robot/RunningRobot'])
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 7.12.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 7.12.0
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)] on win32
In[2]: runfile('D:/robot/RunningRobot/mobilenet/train.py', wdir='D:/robot/RunningRobot/mobilenet')
epoch:2,loss:0.3201
epoch:2,loss:0.0971
epoch:2,loss:0.1782
epoch:2,loss:0.2187
epoch:2,loss:0.0908
epoch:2,loss:0.2413
epoch:2,loss:0.1162
epoch:2,loss:0.2476
epoch:2,loss:0.1843
epoch:2,loss:0.0690
epoch:2,loss:0.0951
epoch:2,loss:0.6209
epoch:2,loss:0.5824
epoch:2,loss:0.0724
epoch:2,loss:0.0872
epoch:2,loss:0.2019
epoch:2,loss:0.1654
epoch:2,loss:0.0634
epoch:2,loss:0.1249
epoch:2,loss:0.3283
epoch:2,loss:0.1034
epoch:2,loss:0.3209
epoch:2,loss:0.0551
epoch:2,loss:0.1545
epoch:2,loss:0.1151
epoch:2,loss:0.1053
epoch:2,loss:0.1591
epoch:2,loss:0.3082
epoch:2,loss:0.1817
epoch:2,loss:0.2734
epoch:2,loss:0.0898
epoch:2,loss:0.2081
epoch:2,loss:0.1444
epoch:2,loss:0.0620
epoch:2,loss:0.1600
epoch:2,loss:0.0764
epoch:2,loss:0.1255
epoch:2,loss:0.1319
epoch:2,loss:0.0750
epoch:2,loss:0.1119
epoch:2,loss:0.1167
epoch:2,loss:0.1994
epoch:2,loss:0.5637
epoch:2,loss:0.0512
epoch:2,loss:0.1195
epoch:2,loss:0.1075
epoch:2,loss:0.1411
epoch:2,loss:0.1184
epoch:2,loss:0.1264
epoch:2,loss:0.1231
epoch:2,loss:0.1220
epoch:2,loss:0.1553
epoch:2,loss:0.0909
epoch:2,loss:0.2727
epoch:2,loss:0.0966
epoch:2,loss:0.0683
epoch:2,loss:0.1405
epoch:2,loss:0.2458
epoch:2,loss:0.0215
epoch:2,loss:0.0229
epoch:2,loss:0.0791
epoch:2,loss:0.2130
